parent_directory,is_file,name,size_in_bytes
D:/Games/PlariumPlay,True,gamestorage.gsfn,168
D:/Games/PlariumPlay,True,PlariumPlay.exe,461144
D:/Games/PlariumPlay,True,pp_log.txt,57749
D:/Games/PlariumPlay,True,storage.txt,2520
D:/Games/PlariumPlay,True,Uninstall.exe,1979480
D:/Games/PlariumPlay,False,8.1.0-0.0.0,297378581
D:/Games/PlariumPlay,False,8.1.0-0.0.1,297383813
D:/Games/PlariumPlay,False,Cache,147338415
D:/Games/PlariumPlay,False,Downloads,0
D:/Games/PlariumPlay,False,Icons,44476
D:/Games/PlariumPlay,False,StandAloneApps,342087839
D:/Games/PlariumPlay\8.1.0-0.0.0,True,cef.pak,2034826
D:/Games/PlariumPlay\8.1.0-0.0.0,True,cef_100_percent.pak,222386
D:/Games/PlariumPlay\8.1.0-0.0.0,True,cef_200_percent.pak,298292
D:/Games/PlariumPlay\8.1.0-0.0.0,True,cef_extensions.pak,1288411
D:/Games/PlariumPlay\8.1.0-0.0.0,True,chrome_elf.dll,1126472
D:/Games/PlariumPlay\8.1.0-0.0.0,True,d3dcompiler_47.dll,4346120
D:/Games/PlariumPlay\8.1.0-0.0.0,True,devtools_resources.pak,2280965
D:/Games/PlariumPlay\8.1.0-0.0.0,True,hover.ico,1150
D:/Games/PlariumPlay\8.1.0-0.0.0,True,icudtl.dat,10412752
D:/Games/PlariumPlay\8.1.0-0.0.0,True,libcef.dll,144190024
D:/Games/PlariumPlay\8.1.0-0.0.0,True,libEGL.dll,412744
D:/Games/PlariumPlay\8.1.0-0.0.0,True,libGLESv2.dll,6773320
D:/Games/PlariumPlay\8.1.0-0.0.0,True,Microsoft.Toolkit.Uwp.Notifications.dll,143512
D:/Games/PlariumPlay\8.1.0-0.0.0,True,Microsoft.Toolkit.Uwp.Notifications.pdb,67564
D:/Games/PlariumPlay\8.1.0-0.0.0,True,Microsoft.Win32.Primitives.dll,21216
D:/Games/PlariumPlay\8.1.0-0.0.0,True,Microsoft.Xaml.Behaviors.dll,145288
D:/Games/PlariumPlay\8.1.0-0.0.0,True,Microsoft.Xaml.Behaviors.pdb,53880
D:/Games/PlariumPlay\8.1.0-0.0.0,True,netstandard.dll,98616
D:/Games/PlariumPlay\8.1.0-0.0.0,True,Newtonsoft.Json.dll,675752
D:/Games/PlariumPlay\8.1.0-0.0.0,True,normal.ico,1150
D:/Games/PlariumPlay\8.1.0-0.0.0,True,PlariumPlay.exe,4968792
D:/Games/PlariumPlay\8.1.0-0.0.0,True,PlariumPlay.ico,39579
D:/Games/PlariumPlay\8.1.0-0.0.0,True,PlariumPlayInfo.exe,250200
D:/Games/PlariumPlay\8.1.0-0.0.0,True,PlariumPlayInfo.exe.config,18072
D:/Games/PlariumPlay\8.1.0-0.0.0,True,PlariumPlayInfo.pdb,333312
D:/Games/PlariumPlay\8.1.0-0.0.0,True,plarium_play_process_helper.exe,44376
D:/Games/PlariumPlay\8.1.0-0.0.0,True,pressed.ico,1150
D:/Games/PlariumPlay\8.1.0-0.0.0,True,SimpleInjector.dll,437320
D:/Games/PlariumPlay\8.1.0-0.0.0,True,snapshot_blob.bin,47951
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.AppContext.dll,21176
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Collections.Concurrent.dll,21224
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Collections.dll,21696
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Collections.NonGeneric.dll,21224
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Collections.Specialized.dll,21224
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.ComponentModel.dll,21192
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.ComponentModel.EventBasedAsync.dll,21768
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.ComponentModel.Primitives.dll,21752
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.ComponentModel.TypeConverter.dll,22784
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Console.dll,21160
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Data.Common.dll,154448
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Diagnostics.Contracts.dll,21736
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Diagnostics.Debug.dll,21208
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Diagnostics.FileVersionInfo.dll,21248
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Diagnostics.Process.dll,21728
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Diagnostics.StackTrace.dll,23936
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Diagnostics.TextWriterTraceListener.dll,21280
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Diagnostics.Tools.dll,21208
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Diagnostics.TraceSource.dll,21744
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Diagnostics.Tracing.dll,31608
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Drawing.Primitives.dll,21208
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Dynamic.Runtime.dll,22224
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Globalization.Calendars.dll,21744
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Globalization.dll,21192
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Globalization.Extensions.dll,25992
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.IO.Compression.dll,110944
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.IO.Compression.ZipFile.dll,21224
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.IO.dll,21144
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.IO.FileSystem.dll,21192
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.IO.FileSystem.DriveInfo.dll,21232
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.IO.FileSystem.Primitives.dll,21232
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.IO.FileSystem.Watcher.dll,21224
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.IO.IsolatedStorage.dll,21208
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.IO.MemoryMappedFiles.dll,21216
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.IO.Pipes.dll,21168
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.IO.UnmanagedMemoryStream.dll,21232
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Linq.dll,21152
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Linq.Expressions.dll,22224
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Linq.Parallel.dll,21192
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Linq.Queryable.dll,21192
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.Http.dll,198472
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.NameResolution.dll,21208
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.NetworkInformation.dll,22248
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.Ping.dll,21168
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.Primitives.dll,22216
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.Requests.dll,21184
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.Security.dll,21696
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.Sockets.dll,30544
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.WebHeaderCollection.dll,21232
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.WebSockets.Client.dll,21224
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.WebSockets.dll,21192
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.ObjectModel.dll,21696
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Reflection.dll,22200
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Reflection.Extensions.dll,21224
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Reflection.Primitives.dll,21736
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Resources.Reader.dll,21200
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Resources.ResourceManager.dll,21232
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Resources.Writer.dll,21200
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.CompilerServices.VisualC.dll,21784
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.dll,29360
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.Extensions.dll,21720
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.Handles.dll,21200
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.InteropServices.dll,24296
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.InteropServices.RuntimeInformation.dll,28624
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.Numerics.dll,21200
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.Serialization.Formatters.dll,21264
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.Serialization.Json.dll,21240
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.Serialization.Primitives.dll,27048
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.Serialization.Xml.dll,24816
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Security.Claims.dll,21200
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Security.Cryptography.Algorithms.dll,47016
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Security.Cryptography.Csp.dll,21240
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Security.Cryptography.Encoding.dll,21256
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Security.Cryptography.Primitives.dll,21784
